"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[19]",50241.35829,50103.2,49849.4272663164,15899,0.95,41693.4,59708.5,NA,NA,NA,NA,NA,NA,NA
"beta0[20]",55910.63575,55971.05,56073.137939757,18101.5,0.95,46997,65177.6,NA,NA,NA,NA,NA,NA,NA
"beta0[21]",80258.363315,80563.15,81156.0718818376,10708.9,0.95,69964.5,89501.7,NA,NA,NA,NA,NA,NA,NA
"beta0[22]",80365.1755,80963.3,82351.4957206067,5235.6,0.95,67977.2,91298.4,NA,NA,NA,NA,NA,NA,NA
"beta0[23]",56859.61276,56755.85,56615.5731779452,16280.4,0.95,48266.3,66567.8,NA,NA,NA,NA,NA,NA,NA
"beta0[24]",68419.239645,68393.4,68231.2582486916,18628,0.95,59452,77957.5,NA,NA,NA,NA,NA,NA,NA
"beta0[25]",42395.54065,42129.75,41321.1410611618,12288.5,0.95,33285.8,51621.1,NA,NA,NA,NA,NA,NA,NA
"beta0[26]",55314.81711,55278,54789.2986174792,16916.8,0.95,46211.3,64164.9,NA,NA,NA,NA,NA,NA,NA
"beta0[27]",53298.275725,53255.25,53337.1130874973,18195.8,0.95,44319.5,61832.5,NA,NA,NA,NA,NA,NA,NA
"beta0[28]",58597.62078,58568.8,58384.446157586,17669.1,0.95,50036.3,67499.9,NA,NA,NA,NA,NA,NA,NA
"beta0[29]",60127.398685,60185.8,60004.2698910349,18228.4,0.95,51571,68994.4,NA,NA,NA,NA,NA,NA,NA
"beta0[30]",75220.543915,75594.1,76091.7504782184,8616.3,0.95,64726.2,85300.3,NA,NA,NA,NA,NA,NA,NA
"beta0[31]",82019.049675,82383.9,83699.9354750886,8691.2,0.95,71202.5,91720.6,NA,NA,NA,NA,NA,NA,NA
"beta0[32]",48175.572475,48184.4,48285.2782826656,17631,0.95,39392.6,56739.1,NA,NA,NA,NA,NA,NA,NA
"beta0[33]",64776.767855,64961.4,65561.43673352,13089.4,0.95,55367.5,74138.5,NA,NA,NA,NA,NA,NA,NA
"beta0[34]",51946.129835,51718.4,51565.8690329143,10239.3,0.95,43444.3,61654.7,NA,NA,NA,NA,NA,NA,NA
"beta0[35]",57331.925725,57125.35,57007.3945091432,14634.8,0.95,47934.7,66781.2,NA,NA,NA,NA,NA,NA,NA
"beta0[36]",57431.54951,57564.65,57663.212605053,15505.5,0.95,48457.8,66840.3,NA,NA,NA,NA,NA,NA,NA
"beta0[37]",49490.318675,49283.75,48405.081467668,12929.1,0.95,40573.6,58705.5,NA,NA,NA,NA,NA,NA,NA
"beta0[38]",57237.986605,57209.8,57276.7604501602,18193,0.95,48422.9,66250.5,NA,NA,NA,NA,NA,NA,NA
"beta0[39]",60793.011165,60873.75,61405.8035165687,19311.4,0.95,51540.6,70274.6,NA,NA,NA,NA,NA,NA,NA
"beta0[40]",19043.5466821,18947.25,18755.9757767786,16143.7,0.95,10466.3,28036.5,NA,NA,NA,NA,NA,NA,NA
"beta0[41]",68545.038305,68598.3,68883.0927024898,17419.3,0.95,59652.7,78085.4,NA,NA,NA,NA,NA,NA,NA
"beta0[42]",51748.15061,51659.7,51808.8778044839,16902.9,0.95,43088.4,60666.7,NA,NA,NA,NA,NA,NA,NA
"beta0[43]",55771.77456,55608.15,55827.5342821965,14339.4,0.95,47095.5,65378.8,NA,NA,NA,NA,NA,NA,NA
"beta0[44]",49952.89098,49828,49302.3124937234,17723.3,0.95,41051.9,58949.6,NA,NA,NA,NA,NA,NA,NA
"beta0[45]",52711.47542,52443.85,52376.1808012841,10570.6,0.95,43807.7,62222.8,NA,NA,NA,NA,NA,NA,NA
"beta0[46]",59381.092315,59744.45,60797.8096222801,8002.8,0.95,49322.6,68631.4,NA,NA,NA,NA,NA,NA,NA
"beta0[47]",60102.617635,60040.3,59498.8704150072,18103.4,0.95,51120.9,69313.7,NA,NA,NA,NA,NA,NA,NA
"beta0[48]",69033.44872,69185.95,69639.0682111261,14008.7,0.95,59572.5,77740.6,NA,NA,NA,NA,NA,NA,NA
"beta0[49]",64748.7057,64611.9,64524.6248009943,16000.2,0.95,55858.9,74089.2,NA,NA,NA,NA,NA,NA,NA
"beta0[50]",46514.377015,46436.65,47147.0838278896,17608.8,0.95,37744.2,55877.7,NA,NA,NA,NA,NA,NA,NA
"beta0[51]",61503.95189,61360.2,61326.6314693439,14998.4,0.95,52454.9,71189.1,NA,NA,NA,NA,NA,NA,NA
"beta0[52]",63068.643585,63312.3,63899.758938201,12429.7,0.95,52964.6,72008.7,NA,NA,NA,NA,NA,NA,NA
"beta1[1]",1547.3344478426,1630.075,1706.77913364201,10139.2,0.95,-164.415,3045.46,NA,NA,NA,NA,NA,NA,NA
"beta1[2]",1917.78916172395,1873.14,1832.36479901246,16223.8,0.95,399.198,3558.46,NA,NA,NA,NA,NA,NA,NA
"beta1[3]",1361.78523002799,1493.02,1694.91607407076,8541.9,0.95,-469.351,2849.71,NA,NA,NA,NA,NA,NA,NA
"beta1[4]",1473.1008168654,1572.62,1678.63112761625,9226.7,0.95,-338.161,2902.26,NA,NA,NA,NA,NA,NA,NA
"beta1[5]",1594.41523274535,1657.43,1731.39972547591,12253.8,0.95,-101.711,3028.84,NA,NA,NA,NA,NA,NA,NA
"beta1[6]",1722.66806437115,1737.41,1738.7057824143,16115.9,0.95,92.2051,3197.43,NA,NA,NA,NA,NA,NA,NA
"beta1[7]",1900.76629779287,1868.005,1854.75820329324,13683.7,0.95,302.72,3580.88,NA,NA,NA,NA,NA,NA,NA
"beta1[8]",1875.91098429765,1843.4,1777.25359725044,14685.4,0.95,285.912,3579.04,NA,NA,NA,NA,NA,NA,NA
"beta1[9]",847.067159896985,1147.605,1617.61246238153,3666.6,0.95,-1690.05,2585.97,NA,NA,NA,NA,NA,NA,NA
"beta1[10]",1897.65262793815,1868.515,1881.69046606556,14792.2,0.95,391.353,3548.05,NA,NA,NA,NA,NA,NA,NA
"beta1[11]",1589.8021906763,1655.16,1728.33392585123,13709.1,0.95,-90.891,3078.8,NA,NA,NA,NA,NA,NA,NA
"beta1[12]",2635.4704095205,2361.245,1916.26689146828,4471.6,0.95,985.515,5090.27,NA,NA,NA,NA,NA,NA,NA
"beta1[13]",1760.58401137495,1770.31,1772.16339351928,16760.2,0.95,210.784,3310.07,NA,NA,NA,NA,NA,NA,NA
"beta1[14]",1823.8950706235,1808.685,1783.16748984733,15159.7,0.95,177.546,3394.25,NA,NA,NA,NA,NA,NA,NA
"beta1[15]",1835.64670273025,1819.645,1749.52874320969,13690.8,0.95,285.442,3434.08,NA,NA,NA,NA,NA,NA,NA
"beta1[16]",1507.08527549225,1597.245,1714.83228923982,11707.6,0.95,-228.715,3047.6,NA,NA,NA,NA,NA,NA,NA
"beta1[17]",1506.17640834212,1596.7,1697.56760356787,10745.4,0.95,-227.668,2967.42,NA,NA,NA,NA,NA,NA,NA
"beta1[18]",1895.5129837795,1860.945,1758.17951610971,13983.2,0.95,368.137,3563.3,NA,NA,NA,NA,NA,NA,NA
"beta1[19]",1690.91441534915,1724.29,1709.87853253575,14239.4,0.95,54.0827,3253.62,NA,NA,NA,NA,NA,NA,NA
"beta1[20]",1872.49756574635,1837.09,1735.65419521299,15881.9,0.95,229.087,3443.01,NA,NA,NA,NA,NA,NA,NA
"beta1[21]",2178.230363332,2052.9,1829.43877518053,7599.6,0.95,714.473,4032.61,NA,NA,NA,NA,NA,NA,NA
"beta1[22]",2643.3904514295,2386.63,1913.1510409616,4354.1,0.95,1001.22,4983.88,NA,NA,NA,NA,NA,NA,NA
"beta1[23]",1645.5804983827,1688.27,1731.75724754033,12801,0.95,-27.948,3219.56,NA,NA,NA,NA,NA,NA,NA
"beta1[24]",1736.75581034565,1750.55,1780.35303998129,17378.5,0.95,-3.99823,3336.88,NA,NA,NA,NA,NA,NA,NA
"beta1[25]",1444.390138222,1549.97,1699.41630264734,10168.1,0.95,-306.81,2970.16,NA,NA,NA,NA,NA,NA,NA
"beta1[26]",1811.31064803245,1801.585,1774.23231272292,17167.2,0.95,277.511,3433.24,NA,NA,NA,NA,NA,NA,NA
"beta1[27]",1704.5479068762,1726.755,1720.76867271183,16430.7,0.95,50.638,3192.22,NA,NA,NA,NA,NA,NA,NA
"beta1[28]",1767.6703756353,1768.12,1790.12056894101,14578.9,0.95,222.124,3368.68,NA,NA,NA,NA,NA,NA,NA
"beta1[29]",1909.3108595351,1872.83,1816.58862964941,15951.8,0.95,320.598,3493.89,NA,NA,NA,NA,NA,NA,NA
"beta1[30]",2296.80486562245,2121.97,1912.16132921397,6315.4,0.95,700.131,4207.51,NA,NA,NA,NA,NA,NA,NA
"beta1[31]",2290.1094406245,2124.43,1853.55469948492,6614.8,0.95,796.168,4282.5,NA,NA,NA,NA,NA,NA,NA
"beta1[32]",1851.5673667743,1828.25,1763.728604927,17246.3,0.95,316.928,3441.01,NA,NA,NA,NA,NA,NA,NA
"beta1[33]",2079.340701543,1984.7,1791.46386821303,8964,0.95,548.323,3766.14,NA,NA,NA,NA,NA,NA,NA
"beta1[34]",1458.9534707493,1567.905,1695.5017329001,8631.6,0.95,-396.388,2867.73,NA,NA,NA,NA,NA,NA,NA
"beta1[35]",1446.7084068232,1563.75,1698.26119710862,8164.2,0.95,-366.67,3020.38,NA,NA,NA,NA,NA,NA,NA
"beta1[36]",1975.8247347801,1912.965,1775.78586616253,14017.2,0.95,502.732,3720.73,NA,NA,NA,NA,NA,NA,NA
"beta1[37]",1474.82842834335,1575.07,1705.47617350324,9977.7,0.95,-217.232,3013.8,NA,NA,NA,NA,NA,NA,NA
"beta1[38]",1785.4982585305,1786.02,1783.52525041916,17018.4,0.95,270.236,3358.72,NA,NA,NA,NA,NA,NA,NA
"beta1[39]",1834.577368094,1818.235,1825.05287843843,16132.9,0.95,249.159,3507.17,NA,NA,NA,NA,NA,NA,NA
"beta1[40]",1680.947634246,1717.33,1765.87932226987,12555.8,0.95,26.0219,3140.9,NA,NA,NA,NA,NA,NA,NA
"beta1[41]",1826.9350058575,1807.59,1772.43964513279,14600.8,0.95,184.427,3432.76,NA,NA,NA,NA,NA,NA,NA
"beta1[42]",1619.0198659555,1670.305,1726.247111708,13246.8,0.95,-1.77817,3169.98,NA,NA,NA,NA,NA,NA,NA
"beta1[43]",1531.14067288445,1612.005,1693.77541011575,11935.4,0.95,-221.508,2980.52,NA,NA,NA,NA,NA,NA,NA
"beta1[44]",1673.0900007635,1715.705,1771.13543131904,15564.5,0.95,37.7634,3195.29,NA,NA,NA,NA,NA,NA,NA
"beta1[45]",1326.53950981385,1466.775,1669.65484685796,6059.2,0.95,-478.577,2824.95,NA,NA,NA,NA,NA,NA,NA
"beta1[46]",2335.2782216335,2163.875,1972.9344701741,6123.4,0.95,829.672,4280.6,NA,NA,NA,NA,NA,NA,NA
"beta1[47]",1648.072454479,1692.495,1697.1299687763,11418.5,0.95,-81.577,3308.82,NA,NA,NA,NA,NA,NA,NA
